ind1_ano,ind2_ano,species,group_num,group,year,groupyear,kin,obs_hours,grooming,aggression,association2,association.total,coalition,sharing,sex1,sex2,population,demo1,demo2
i138,i105,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,273.948333333333,0,6,1127,2577,1,5,F,F,2,FALSE,FALSE
i099,i105,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,251.695,241,0,653,2102,0,0,M,F,2,FALSE,TRUE
i034,i105,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,263.317777777778,992,15,1130,2658,1,0,F,F,2,FALSE,TRUE
i007,i105,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,274.713055555556,6807,5,1138,2648,2,2,M,F,2,FALSE,TRUE
i016,i105,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,292.192222222222,7278,1,1074,2302,0,0,F,F,2,FALSE,FALSE
i122,i105,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,276.013611111111,0,1,1010,2496,1,4,M,F,2,FALSE,FALSE
i074,i105,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,316.666388888889,5513,1,1251,2702,0,1,F,F,2,FALSE,TRUE
i109,i105,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,318.480833333333,1553,0,957,2633,1,3,F,F,2,FALSE,TRUE
i118,i105,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,249.291944444444,701,3,712,2099,0,6,F,F,2,FALSE,FALSE
i031,i105,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,213.454722222222,300,7,611,2112,0,3,F,F,2,FALSE,TRUE
i099,i138,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,248.771666666667,0,2,735,2472,0,0,M,F,2,TRUE,FALSE
i034,i138,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,260.394444444444,8120,9,1507,2733,1,11,F,F,2,TRUE,FALSE
i007,i138,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,271.789722222222,5753,0,1502,2736,1,1,M,F,2,TRUE,FALSE
i016,i138,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,289.268888888889,1030,6,1208,2620,1,0,F,F,2,FALSE,FALSE
i122,i138,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,273.090277777778,0,6,1362,2596,1,1,M,F,2,TRUE,FALSE
i074,i138,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,313.743055555556,29216,3,1595,2810,3,2,F,F,2,FALSE,FALSE
i109,i138,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,315.5575,7978,1,1257,2785,2,3,F,F,2,TRUE,FALSE
i118,i138,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,246.368611111111,0,2,854,2409,0,3,F,F,2,FALSE,FALSE
i031,i138,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,210.531388888889,993,5,725,2450,0,12,F,F,2,FALSE,FALSE
i034,i099,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,238.141111111111,2999,3,759,2532,0,1,F,M,2,TRUE,TRUE
i007,i099,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,249.536388888889,7796,82,677,2612,1,0,M,M,2,TRUE,TRUE
i016,i099,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,267.015555555556,6726,4,658,2221,0,0,F,M,2,FALSE,FALSE
i122,i099,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,250.836944444444,0,15,606,2403,0,0,M,M,2,TRUE,FALSE
i074,i099,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,291.489722222222,4303,4,808,2648,0,0,F,M,2,FALSE,TRUE
i109,i099,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,293.304166666667,0,0,659,2434,0,0,F,M,2,TRUE,TRUE
i118,i099,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,224.115277777778,221,0,466,1848,0,1,F,M,2,FALSE,FALSE
i031,i099,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,188.278055555556,0,0,425,1801,0,0,F,M,2,FALSE,TRUE
i007,i034,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,261.159166666667,2466,3,1526,2796,0,4,M,F,2,TRUE,TRUE
i016,i034,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,278.638333333333,9642,11,1290,2622,0,1,F,F,2,FALSE,FALSE
i122,i034,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,262.459722222222,177,4,1349,2693,0,2,M,F,2,TRUE,FALSE
i074,i034,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,303.1125,15546,6,1657,2832,0,8,F,F,2,FALSE,TRUE
i109,i034,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,304.926944444444,4279,5,1308,2818,1,1,F,F,2,TRUE,TRUE
i118,i034,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,235.738055555556,13526,28,877,2470,0,10,F,F,2,FALSE,FALSE
i031,i034,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,199.900833333333,4926,3,784,2475,0,6,F,F,2,FALSE,TRUE
i016,i007,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,290.033611111111,20569,1,1257,2653,0,2,F,M,2,FALSE,FALSE
i122,i007,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,273.855,13421,12,1371,2669,13,3,M,M,2,TRUE,FALSE
i074,i007,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,314.507777777778,4358,2,1654,2833,0,4,F,M,2,FALSE,TRUE
i109,i007,bonobo,3,Ekalakala,2019,Ekalakala__2019,1,316.322222222222,12017,1,1505,2619,2,3,F,M,2,TRUE,TRUE
i118,i007,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,247.133333333333,3254,4,841,2504,0,1,F,M,2,FALSE,FALSE
i031,i007,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,211.296111111111,0,2,721,2536,0,0,F,M,2,FALSE,TRUE
i122,i016,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,291.334166666667,14160,2,1125,2505,3,1,M,F,2,FALSE,FALSE
i074,i016,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,331.986944444444,12949,1,1383,2694,2,4,F,F,2,FALSE,FALSE
i109,i016,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,333.801388888889,14153,0,1020,2694,2,1,F,F,2,FALSE,FALSE
i118,i016,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,264.6125,601,0,773,2162,0,1,F,F,2,FALSE,FALSE
i031,i016,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,228.775277777778,0,5,652,2195,0,0,F,F,2,FALSE,FALSE
i074,i122,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,315.808333333333,16616,6,1467,2740,1,0,F,M,2,FALSE,FALSE
i109,i122,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,317.622777777778,11874,3,1238,2606,5,1,F,M,2,TRUE,FALSE
i118,i122,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,248.433888888889,4760,3,822,2243,0,0,F,M,2,FALSE,FALSE
i031,i122,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,212.596666666667,6731,3,756,2221,0,0,F,M,2,FALSE,FALSE
i109,i074,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,358.275555555556,4322,0,1447,2844,1,2,F,F,2,FALSE,TRUE
i118,i074,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,289.086666666667,1874,0,935,2577,0,4,F,F,2,FALSE,FALSE
i031,i074,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,253.249444444444,8950,1,829,2595,1,11,F,F,2,FALSE,TRUE
i118,i109,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,290.901111111111,3374,0,735,2414,0,0,F,F,2,FALSE,FALSE
i031,i109,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,255.063888888889,6160,2,661,2400,0,2,F,F,2,FALSE,TRUE
i031,i118,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,185.875,2484,5,538,1744,0,0,F,F,2,FALSE,FALSE
i095,i113,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,253.966666666667,0,2,518,3133,1,0,F,M,2,FALSE,FALSE
i061,i113,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,277.319722222222,0,4,539,3148,0,0,F,M,2,FALSE,FALSE
i057,i113,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,257.083611111111,0,2,600,3039,0,0,F,M,2,FALSE,FALSE
i080,i113,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,191.311666666667,0,0,236,2506,0,0,M,M,2,FALSE,FALSE
i071,i113,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,258.5175,0,7,408,2832,0,1,M,M,2,FALSE,FALSE
i033,i113,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,245.504444444444,12746,4,1180,2544,1,0,M,M,2,FALSE,FALSE
i121,i113,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,203.152777777778,0,0,574,2358,0,0,M,M,2,FALSE,FALSE
i037,i113,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,239.3675,0,0,700,3173,0,0,F,M,2,FALSE,FALSE
i044,i113,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,272.811111111111,3469,1,827,3361,2,0,F,M,2,FALSE,FALSE
i079,i113,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,48.1413888888889,0,0,113,2324,0,0,F,M,2,FALSE,FALSE
i042,i113,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,253.625277777778,1559,33,831,3140,0,0,M,M,2,FALSE,FALSE
i041,i113,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,266.226944444444,0,0,609,3161,0,0,F,M,2,FALSE,FALSE
i087,i113,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,283.532777777778,1568,4,676,3172,0,1,F,M,2,FALSE,FALSE
i015,i113,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,258.2975,4016,0,1096,2562,2,1,F,M,2,FALSE,FALSE
i005,i113,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,253.7225,2398,0,1144,2581,2,0,F,M,2,FALSE,FALSE
i126,i113,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,282.131944444444,0,6,721,3374,0,0,F,M,2,FALSE,FALSE
i012,i113,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,314.366388888889,10821,0,1323,2664,0,0,F,M,2,FALSE,FALSE
i008,i113,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,235.406666666667,1366,15,782,2479,0,1,M,M,2,FALSE,FALSE
i134,i113,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,268.268888888889,2900,2,1384,2708,2,0,F,M,2,FALSE,FALSE
i061,i095,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,260.431944444444,0,2,721,2369,5,7,F,F,2,FALSE,FALSE
i057,i095,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,240.195833333333,0,0,712,2330,2,5,F,F,2,FALSE,FALSE
i080,i095,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,174.423888888889,0,5,266,1879,0,0,M,F,2,FALSE,FALSE
i071,i095,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,241.629722222222,0,4,515,2128,0,1,M,F,2,FALSE,FALSE
i033,i095,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,228.616666666667,944,1,395,2732,0,0,M,F,2,FALSE,FALSE
i121,i095,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,186.265,0,0,165,2170,0,0,M,F,2,FALSE,FALSE
i037,i095,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,222.479722222222,928,1,773,2503,3,1,F,F,2,FALSE,FALSE
i044,i095,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,255.923333333333,0,2,824,2767,6,4,F,F,2,FALSE,FALSE
i079,i095,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,55.2563888888889,0,0,77,1763,0,0,F,F,2,FALSE,FALSE
i042,i095,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,236.7375,0,0,762,2612,0,0,M,F,2,FALSE,FALSE
i041,i095,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,249.339166666667,64,0,753,2420,1,9,F,F,2,FALSE,FALSE
i087,i095,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,266.645,3784,1,777,2474,4,3,F,F,2,FALSE,FALSE
i015,i095,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,241.409722222222,529,0,342,2719,4,0,F,F,2,FALSE,FALSE
i005,i095,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,236.834722222222,219,0,353,2775,1,0,F,F,2,FALSE,FALSE
i126,i095,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,265.244166666667,0,0,923,2575,4,6,F,F,2,FALSE,FALSE
i012,i095,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,297.478611111111,0,1,394,2996,2,0,F,F,2,FALSE,FALSE
i008,i095,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,218.518888888889,0,0,249,2415,0,1,M,F,2,FALSE,FALSE
i134,i095,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,251.381111111111,0,0,399,3096,0,0,F,F,2,FALSE,FALSE
i057,i061,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,263.548888888889,0,3,789,2289,4,1,F,F,2,FALSE,FALSE
i080,i061,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,197.776944444444,0,4,283,1898,0,0,M,F,2,FALSE,FALSE
i071,i061,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,264.982777777778,3021,5,500,2179,0,0,M,F,2,FALSE,FALSE
i033,i061,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,251.969722222222,0,0,404,2759,0,0,M,F,2,FALSE,FALSE
i121,i061,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,209.618055555556,0,1,141,2230,0,0,M,F,2,FALSE,FALSE
i037,i061,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,245.832777777778,0,1,869,2443,2,2,F,F,2,FALSE,FALSE
i044,i061,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,279.276388888889,0,3,980,2647,7,6,F,F,2,FALSE,FALSE
i079,i061,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,64.8425,0,0,116,1760,0,0,F,F,2,FALSE,FALSE
i042,i061,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,260.090555555556,5509,6,846,2564,2,0,M,F,2,FALSE,FALSE
i041,i061,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,272.692222222222,0,5,864,2345,7,5,F,F,2,FALSE,FALSE
i087,i061,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,289.998055555556,0,5,768,2519,5,2,F,F,2,FALSE,FALSE
i015,i061,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,264.762777777778,0,1,364,2733,1,0,F,F,2,FALSE,FALSE
i005,i061,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,260.187777777778,0,0,344,2820,1,0,F,F,2,FALSE,FALSE
i126,i061,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,288.597222222222,1034,1,994,2540,4,8,F,F,2,FALSE,FALSE
i012,i061,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,320.831666666667,0,2,378,3048,1,1,F,F,2,FALSE,FALSE
i008,i061,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,241.871944444444,0,3,291,2409,1,0,M,F,2,FALSE,FALSE
i134,i061,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,274.734166666667,0,0,445,3086,3,2,F,F,2,FALSE,FALSE
i080,i057,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,1,177.540833333333,10964,0,472,1661,0,0,M,F,2,FALSE,TRUE
i071,i057,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,244.746666666667,0,2,512,2119,0,0,M,F,2,FALSE,FALSE
i033,i057,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,231.733611111111,0,2,414,2701,0,0,M,F,2,FALSE,FALSE
i121,i057,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,189.381944444444,0,1,175,2148,0,0,M,F,2,FALSE,FALSE
i037,i057,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,225.596666666667,0,1,775,2489,3,0,F,F,2,FALSE,TRUE
i044,i057,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,259.040277777778,0,0,875,2704,3,1,F,F,2,FALSE,FALSE
i079,i057,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,66.1194444444444,0,0,51,1777,0,0,F,F,2,FALSE,FALSE
i042,i057,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,239.854444444444,0,3,764,2598,1,0,M,F,2,FALSE,FALSE
i041,i057,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,252.456111111111,0,3,696,2465,5,0,F,F,2,FALSE,TRUE
i087,i057,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,269.761944444444,0,0,716,2523,4,1,F,F,2,FALSE,FALSE
i015,i057,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,244.526666666667,0,1,400,2649,3,0,F,F,2,FALSE,TRUE
i005,i057,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,239.951666666667,0,0,389,2727,3,0,F,F,2,FALSE,FALSE
i126,i057,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,268.361111111111,107,1,942,2544,1,3,F,F,2,FALSE,FALSE
i012,i057,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,300.595555555556,0,1,428,2950,0,0,F,F,2,FALSE,TRUE
i008,i057,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,221.635833333333,0,0,274,2378,0,0,M,F,2,FALSE,TRUE
i134,i057,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,254.498055555556,0,0,480,3003,4,0,F,F,2,FALSE,FALSE
i071,i080,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,178.974722222222,0,2,198,1536,0,0,M,M,2,FALSE,FALSE
i033,i080,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,165.961666666667,0,1,116,2102,0,0,M,M,2,TRUE,FALSE
i121,i080,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,123.61,0,0,79,1347,0,0,M,M,2,TRUE,FALSE
i037,i080,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,159.824722222222,0,1,252,2115,0,0,F,M,2,FALSE,TRUE
i044,i080,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,193.268333333333,0,1,263,2419,0,0,F,M,2,FALSE,FALSE
i079,i080,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,57.1930555555556,0,0,38,893,0,0,F,M,2,TRUE,FALSE
i042,i080,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,174.0825,0,8,236,2229,0,0,M,M,2,FALSE,FALSE
i041,i080,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,186.684166666667,0,0,236,2028,0,0,F,M,2,TRUE,TRUE
i087,i080,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,203.99,0,2,237,2105,0,0,F,M,2,FALSE,FALSE
i015,i080,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,178.754722222222,0,0,159,1993,0,0,F,M,2,FALSE,TRUE
i005,i080,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,174.179722222222,0,0,152,2067,0,0,F,M,2,FALSE,FALSE
i126,i080,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,202.589166666667,0,9,300,2289,0,0,F,M,2,TRUE,FALSE
i012,i080,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,234.823611111111,0,1,190,2291,0,0,F,M,2,FALSE,TRUE
i008,i080,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,155.863888888889,0,2,123,1632,0,0,M,M,2,FALSE,TRUE
i134,i080,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,188.726111111111,0,0,184,2402,0,0,F,M,2,FALSE,FALSE
i033,i071,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,233.1675,0,7,302,2414,0,2,M,M,2,FALSE,FALSE
i121,i071,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,190.815833333333,0,0,132,1792,0,0,M,M,2,FALSE,FALSE
i037,i071,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,227.030555555556,10,1,511,2354,0,0,F,M,2,FALSE,FALSE
i044,i071,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,260.474166666667,0,7,642,2538,0,0,F,M,2,FALSE,FALSE
i079,i071,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,57.6377777777778,0,0,25,1404,0,0,F,M,2,FALSE,FALSE
i042,i071,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,241.288333333333,0,34,525,2438,0,0,M,M,2,FALSE,FALSE
i041,i071,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,253.89,0,4,519,2243,1,0,F,M,2,FALSE,FALSE
i087,i071,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,271.195833333333,0,1,536,2304,0,0,F,M,2,FALSE,FALSE
i015,i071,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,245.960555555556,0,1,285,2365,0,0,F,M,2,FALSE,FALSE
i005,i071,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,241.385555555556,0,1,262,2455,0,0,F,M,2,FALSE,FALSE
i126,i071,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,269.795,0,10,625,2462,0,0,F,M,2,FALSE,FALSE
i012,i071,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,302.029444444444,0,3,312,2667,0,0,F,M,2,FALSE,FALSE
i008,i071,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,223.069722222222,0,3,141,2112,0,0,M,M,2,FALSE,FALSE
i134,i071,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,255.931944444444,654,7,365,2719,1,0,F,M,2,FALSE,FALSE
i121,i033,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,177.802777777778,0,1,469,1939,0,0,M,M,2,TRUE,FALSE
i037,i033,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,214.0175,0,0,519,2830,3,0,F,M,2,FALSE,FALSE
i044,i033,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,247.461111111111,5424,1,622,3042,2,0,F,M,2,FALSE,FALSE
i079,i033,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,43.5383333333333,0,0,69,1844,0,0,F,M,2,TRUE,FALSE
i042,i033,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,228.275277777778,0,14,565,2882,3,0,M,M,2,FALSE,FALSE
i041,i033,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,240.876944444444,0,4,454,2792,1,0,F,M,2,TRUE,FALSE
i087,i033,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,258.182777777778,0,2,493,2831,1,1,F,M,2,FALSE,FALSE
i015,i033,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,232.9475,3805,0,832,2302,3,0,F,M,2,FALSE,FALSE
i005,i033,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,228.3725,3699,0,931,2270,0,0,F,M,2,FALSE,FALSE
i126,i033,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,256.781944444444,0,2,496,3075,0,0,F,M,2,TRUE,FALSE
i012,i033,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,289.016388888889,12917,0,1015,2448,4,1,F,M,2,FALSE,FALSE
i008,i033,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,210.056666666667,0,55,580,2157,2,1,M,M,2,FALSE,FALSE
i134,i033,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,242.918888888889,395,2,1062,2506,7,0,F,M,2,FALSE,FALSE
i037,i121,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,171.665833333333,0,0,190,2367,0,0,F,M,2,FALSE,FALSE
i044,i121,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,205.109444444444,0,0,200,2672,1,0,F,M,2,FALSE,FALSE
i042,i121,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,185.923611111111,0,5,227,2428,1,0,M,M,2,FALSE,FALSE
i041,i121,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,198.525277777778,0,0,169,2285,0,0,F,M,2,TRUE,FALSE
i087,i121,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,215.831111111111,0,0,187,2345,0,0,F,M,2,FALSE,FALSE
i015,i121,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,190.595833333333,0,0,446,1896,0,0,F,M,2,FALSE,FALSE
i005,i121,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,1,186.020833333333,13032,0,621,1788,0,4,F,M,2,FALSE,FALSE
i126,i121,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,214.430277777778,0,0,184,2595,0,1,F,M,2,TRUE,FALSE
i012,i121,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,246.664722222222,0,2,549,2122,0,0,F,M,2,FALSE,FALSE
i008,i121,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,167.705,0,2,283,1662,0,0,M,M,2,FALSE,FALSE
i134,i121,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,200.567222222222,0,8,532,2244,0,0,F,M,2,FALSE,FALSE
i044,i037,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,241.324166666667,4720,0,1100,2713,7,6,F,F,2,FALSE,FALSE
i079,i037,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,44.2636111111111,0,0,128,1934,1,0,F,F,2,FALSE,FALSE
i042,i037,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,222.138333333333,222,3,954,2642,2,1,M,F,2,FALSE,FALSE
i041,i037,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,234.74,0,0,1019,2376,3,4,F,F,2,FALSE,TRUE
i087,i037,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,252.045833333333,5000,0,916,2557,7,0,F,F,2,FALSE,FALSE
i015,i037,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,226.810555555556,0,0,432,2851,3,1,F,F,2,FALSE,TRUE
i005,i037,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,222.235555555556,0,0,413,2937,2,0,F,F,2,FALSE,FALSE
i126,i037,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,250.645,0,3,1088,2632,1,0,F,F,2,FALSE,FALSE
i012,i037,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,282.879444444444,0,0,504,3108,0,0,F,F,2,FALSE,TRUE
i008,i037,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,203.919722222222,1415,3,299,2587,0,0,M,F,2,FALSE,TRUE
i134,i037,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,236.781944444444,0,1,621,3096,7,1,F,F,2,FALSE,FALSE
i079,i044,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,56.8225,92,0,142,2235,0,0,F,F,2,FALSE,FALSE
i042,i044,bonobo,2,Kokoalongo,2019,Kokoalongo__2019,0,255.581944444444,3082,4,1108,2803,1,0,M,F,2,FALSE,FALSE
